epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
48,3674.23,1.1684,2.27114,1.78267,1.25454,0.48879,0.14572,0.12469,0.09435,0.48591,0.14338,0.1219,0.08364,1.0939,2.17238,3.74088,1.18105,9.0694e-05,9.0694e-05,9.0694e-05
49,7331.73,1.1615,2.25671,1.77064,1.2485,0.47998,0.14627,0.12466,0.09414,0.48153,0.14394,0.12182,0.0837,1.09213,2.16873,3.751,1.1798,9.0496e-05,9.0496e-05,9.0496e-05
50,10916.6,1.15479,2.24268,1.75229,1.24587,0.46309,0.15409,0.1262,0.0955,0.46081,0.15218,0.12354,0.08509,1.08927,2.16309,3.7446,1.17773,9.0298e-05,9.0298e-05,9.0298e-05
51,14503.8,1.14613,2.22829,1.73628,1.23951,0.45508,0.15728,0.12905,0.09797,0.45875,0.15323,0.12656,0.08727,1.08622,2.156,3.73446,1.17591,9.01e-05,9.01e-05,9.01e-05
52,18183.9,1.14185,2.21843,1.72228,1.23544,0.44859,0.15892,0.12871,0.09765,0.44708,0.15723,0.12615,0.08704,1.08257,2.14934,3.71015,1.17363,8.9902e-05,8.9902e-05,8.9902e-05
53,22001,1.13615,2.20463,1.70934,1.23088,0.45841,0.15883,0.12924,0.09822,0.46471,0.15187,0.12653,0.08747,1.07914,2.14234,3.69755,1.17158,8.9704e-05,8.9704e-05,8.9704e-05
54,25767.8,1.1311,2.19396,1.69509,1.22707,0.44101,0.16749,0.13043,0.09898,0.44235,0.16432,0.12772,0.08822,1.07501,2.1332,3.66893,1.16889,8.9506e-05,8.9506e-05,8.9506e-05
55,29357.6,1.12475,2.18216,1.68281,1.22248,0.44057,0.16577,0.13252,0.1005,0.43878,0.16369,0.1298,0.08979,1.07127,2.12443,3.65124,1.16654,8.9308e-05,8.9308e-05,8.9308e-05
56,32950.3,1.12084,2.17387,1.6659,1.21925,0.44843,0.16557,0.13402,0.10158,0.44648,0.16336,0.13121,0.09107,1.06708,2.11589,3.62236,1.16366,8.911e-05,8.911e-05,8.911e-05
57,36542.7,1.11604,2.16113,1.65685,1.21625,0.45039,0.16454,0.13614,0.10331,0.44822,0.1626,0.13313,0.0923,1.06365,2.10708,3.60341,1.16156,8.8912e-05,8.8912e-05,8.8912e-05
58,40139.2,1.10929,2.14945,1.64537,1.2128,0.43158,0.17522,0.13872,0.10535,0.43075,0.17143,0.13581,0.09405,1.05933,2.09699,3.581,1.15845,8.8714e-05,8.8714e-05,8.8714e-05
